GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
discount-service,com.recepatas.service.discount,CustomerDiscount,0,38,0,6,0,6,0,7,0,4
discount-service,com.recepatas.service.discount,EmployeeDiscount,0,13,0,0,0,3,0,3,0,3
discount-service,com.recepatas.service.discount,UserDiscountCalculator,0,32,0,6,0,8,0,5,0,2
discount-service,com.recepatas.service.discount,TotalBillDiscountCalculator,0,16,0,0,0,3,0,2,0,2
discount-service,com.recepatas.service.discount,AffiliateDiscount,0,13,0,0,0,3,0,3,0,3
discount-service,com.recepatas,App,0,87,0,0,0,10,0,2,0,2
discount-service,com.recepatas.service,DiscountService,0,35,0,0,0,6,0,3,0,3
discount-service,com.recepatas.service,Constants,3,18,0,0,1,5,1,1,1,1
discount-service,com.recepatas.model,Item,0,18,0,0,0,7,0,3,0,3
discount-service,com.recepatas.model,User,0,18,0,0,0,7,0,3,0,3
discount-service,com.recepatas.model,Bill,0,15,0,0,0,6,0,3,0,3
discount-service,com.recepatas.model,UserType,0,34,0,0,0,4,0,1,0,1
discount-service,com.recepatas.model,ItemType,0,24,0,0,0,3,0,1,0,1
